# CÁCH GỌI ĐỐI TƯỢNG theo vùng miền — LLM (Claude Opus) soạn tay 2026-09-16.
# Cột: id | region(bac|trung|nam|chung) | noun
# Đây là phần CHỈ NGƯỜI biết: nhãn registry (*"Ghế mát"*, *"Điều hoà AUTO"*) không phải thứ người lái nói ra
# miệng. Bộ sinh `gen-variants.py` còn tự thêm nhãn + nhãn ngắn của registry làm cách gọi nền, nên ở đây chỉ
# khai cái nhãn KHÔNG phủ (đúng luật của `VoiceSynonyms`).
#   • `@only` ở cột noun ⇒ BỎ cách gọi sinh từ nhãn cho id đó (nhãn có dấu `+`, chữ viết tắt… không nói được).
#   • Khuôn có động từ đứng ngay trước {n} tự bị bỏ nếu cách gọi đã mang sẵn động từ (*"mở mở khoá cửa"*).
#
# ═══ NÚT (ControlRegistry) ══════════════════════════════════════════════════════════════════════
lock	chung	@only
lock	chung	khoá
lock	chung	khoá xe
lock	chung	khoá cửa
lock	bac	chốt cửa
lock	nam	khoá cửa xe
window	chung	kính lái
window	nam	kiếng lái
window	chung	kính tài xế
window	bac	cửa sổ lái
trunk	chung	cốp
trunk	chung	cốp xe
trunk	nam	cửa hậu
trunk	nam	thùng sau
readl	chung	đèn đọc sách
readl	bac	đèn trần
readl	chung	đèn trong xe
readl	nam	đèn nóc
pm25	chung	lọc không khí
pm25	chung	lọc bụi mịn
pm25	nam	máy lọc không khí
pm25	bac	lọc gió cabin
seatc	chung	làm mát ghế
seatc	chung	thông gió ghế
seatc	nam	quạt ghế
seatc	bac	ghế thoáng
temp	bac	nhiệt độ điều hoà
temp	nam	nhiệt độ máy lạnh
temp	nam	độ lạnh
temp	chung	nhiệt độ trong xe
fan	chung	quạt gió
fan	chung	mức gió
fan	chung	tốc độ quạt
fan	bac	sức gió
defrost	chung	sấy kính trước
defrost	nam	sấy kiếng
defrost	chung	xả băng
cam	chung	camera
cam	chung	camera quanh xe
cam	nam	cam ba sáu mươi
door	chung	@only
door	chung	mở khoá cửa
door	chung	mở khoá xe
door	nam	mở cửa xe
door	bac	mở chốt cửa
hood	chung	ca pô
hood	chung	nắp ca pô
hood	nam	nắp máy
sunroof	chung	cửa sổ trời
sunroof	chung	cửa nóc
sunroof	nam	nóc xe
headl	chung	đèn pha
headl	chung	đèn chiếu xa
headl	nam	đèn cốt pha
seath	chung	sưởi ghế
seath	nam	ghế nóng
seath	bac	ghế ấm
recirc	chung	lấy gió trong
recirc	chung	gió trong
recirc	chung	tuần hoàn trong
drl	chung	đèn ban ngày
drl	chung	đèn chạy ban ngày
vol	chung	âm lượng
vol	nam	tiếng
vol	chung	âm thanh
vol	bac	loa
wiper	chung	gạt mưa
wiper	chung	cần gạt
wiper	nam	gạt nước
cast	chung	chiếu cụm
cast	chung	chiếu lên cụm
cast	chung	chiếu màn
ac_auto	chung	điều hoà
ac_auto	nam	máy lạnh
ac_auto	chung	điều hoà tự động
ac_auto	nam	máy lạnh tự động
defrost_rear	chung	sấy kính sau
defrost_rear	nam	sấy kiếng sau
anion	chung	ion âm
anion	chung	khử mùi
steer_heat	chung	sưởi vô lăng
steer_heat	nam	vô lăng nóng
pm25_clean_now	chung	@only
pm25_clean_now	chung	lọc ngay
pm25_clean_now	chung	lọc không khí ngay
pm25_clean_now	chung	lọc bụi ngay
pm25_clean_now	nam	lọc nhanh
win_lf	chung	kính trước trái
win_lf	chung	kính bên lái
win_lf	nam	kiếng trước trái
win_lf	chung	kính ghế lái
win_rf	chung	kính trước phải
win_rf	chung	kính bên phụ
win_rf	nam	kiếng trước phải
win_rf	chung	kính ghế phụ
win_lr	chung	kính sau trái
win_lr	nam	kiếng sau trái
win_lr	chung	kính sau bên trái
win_rr	chung	kính sau phải
win_rr	nam	kiếng sau phải
win_rr	chung	kính sau bên phải
windows_all	chung	hết kính
windows_all	chung	toàn bộ kính
windows_all	nam	hết kiếng
windows_all	chung	bốn kính
windows_all	chung	cửa sổ
sunshade	chung	rèm che nắng
sunshade	chung	rèm nóc
sunshade	nam	màn che nắng
child_lock	chung	khoá trẻ em
child_lock	nam	khoá con nít
seat_memory	chung	nhớ ghế lái
seat_memory	chung	lưu vị trí ghế
ambient_power	chung	đèn viền
ambient_power	chung	đèn nội thất
ambient_power	nam	đèn led nội thất
ambient_color	chung	màu đèn viền
ambient_color	chung	màu đèn nội thất
ambient_brightness	chung	độ sáng viền
ambient_brightness	chung	độ sáng đèn viền
ambient_music	chung	đèn viền theo nhạc
ambient_music	chung	đèn nhảy theo nhạc
headlight_mode	chung	chế độ đèn pha
headlight_mode	chung	kiểu đèn pha
powertrain_mode	chung	@only
powertrain_mode	chung	chế độ động cơ
powertrain_mode	chung	chế độ năng lượng
powertrain_mode	chung	xăng điện
regen_level	chung	mức tái tạo
regen_level	chung	mức hãm tái sinh
wireless_charge	chung	sạc không dây
wireless_charge	nam	sạc điện thoại
screen_rotation	chung	xoay màn hình
screen_rotation	chung	hướng màn hình
camera_view	chung	góc camera
camera_view	chung	hướng camera
cluster_music	chung	nhạc trên cụm
cluster_music	chung	nhạc trên đồng hồ
brightness_gear	chung	độ sáng màn
brightness_gear	chung	độ sáng màn hình
brightness_gear	nam	sáng màn
hud_switch	chung	hud kính lái
hud_switch	chung	hiển thị trên kính lái
hud_brightness	chung	độ sáng hud
# ═══ THÔNG TIN ĐỌC (TelemetryRegistry) — chỉ khai cái nhãn không phủ ════════════════════════════
soc	chung	@only
soc	chung	pin
soc	chung	phần trăm pin
soc	chung	mức pin
soc	nam	pin còn nhiêu
ev_range_km	chung	tầm hoạt động
ev_range_km	chung	đi được bao xa
ev_range_km	nam	còn chạy được bao nhiêu
fuel_range_km	chung	tầm xăng
fuel_range_km	chung	xăng còn chạy được bao xa
fuel_pct	chung	xăng
